"WY","watershed","H2O_1e6L","Ca_eq_ha","K_eq_ha","Mg_eq_ha","Na_eq_ha","NO3_eq_ha","NH4_eq_ha","inorganic_N_eq_ha","SO4_eq_ha","Cl_eq_ha","Al","DOC","H_eq_ha","ANC_eq_ha","HCO3_eq_ha","Si"
1989,"EB",106,767,86,288,748,182.8,8,190.8,1014,616,62.7,2218,34.4,55,44.9,494.8
1990,"EB",93,587,47,210,564,110.6,1.8,112.4,928,482,45.9,1379,25.3,32.3,27.2,448.1
1991,"EB",106,713,56,263,658,144.3,1.9,146.2,996,504,65.8,1719,32,20.9,29.4,564.4
1992,"EB",89,601,42,227,578,41.4,1.3,42.7,833,507,44.7,1224,20.5,30.3,35.8,497.4
1993,"EB",84,532,40,202,545,25.7,0.4,26.1,755,462,41.2,1172,18,28.4,31.9,449.7
1994,"EB",103,627,50,226,700,15.8,0.1,15.9,904,667,71.2,1551,42.1,13.5,30.9,516.7
1995,"EB",66,419,31,150,493,13.3,1.2,14.5,586,420,33.9,1030,21.8,5,22.4,380.4
1996,"EB",156,925,78,346,1252,13.5,5.7,19.2,1212,1311,69.6,2632,74.9,10.7,43.2,806.5
1997,"EB",100,552,50,204,673,26,0.3,26.3,828,608,68.7,1632,51.8,22.1,47.5,534.2
1998,"EB",105,483,49,184,636,7.6,1.2,8.8,863,533,54.2,2122,31.7,20.7,35.9,532.1
1999,"EB",96,528,50,211,657,35.6,6.8,42.4,798,588,44.4,1476,26,15.1,29.7,461.6
2000,"EB",114,573,53,228,883,15.3,7.2,22.5,893,882,66.3,2072,56.2,7.6,30.2,603.3
2001,"EB",54,281,22,110,410,4.4,0.8,5.2,439,343,27.9,1037,14.3,24.4,21.4,304.3
2002,"EB",76,384,32,156,605,7.5,2.8,10.3,615,544,43.8,1491,23.4,24.4,22.2,429.6
2003,"EB",90,397,33,168,641,6.4,0.5,6.9,711,501,55.8,1827,28.9,19.8,21.9,465.9
2004,"EB",118,598,48,227,890,2.9,NA,2.9,910,766,50.3,514,38.4,31.7,37.1,NA
2005,"EB",119,540,52,214,791,6.3,NA,6.3,916,594,17.7,2098,38.1,37.1,44.5,NA
2006,"EB",144,680,51,274,919,9.4,36.5,45.9,1032,682,47.2,2331,33.7,60.6,56,NA
2007,"EB",107,426,53,186,578,19.8,NA,19.8,727,419,66.8,1870,26.6,58.9,48.2,NA
2008,"EB",129,505,45,201,677,6.6,11.7,18.3,825,506,71.1,2559,31.9,65.9,63.2,26.5
2009,"EB",155,644,45,280,928,1.8,NA,1.8,1006,729,69.8,2155,28.3,99.2,100.5,NA
2010,"EB",109,454,37,193,655,0.1,NA,0.1,678,479,44,1501,11.4,107.9,95.1,NA
2011,"EB",149,562,42,241,854,0.6,NA,0.6,794,719,68.7,1940,21.5,70.1,80.8,NA
